EstablecimientoGlosa;RegionGlosa;TipoEstablecimientoGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaGlosa;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
Laboratorio Tecmed Ltda.;Región De Antofagasta;Laboratorio Clínico;Privado;No Aplica;Calama;01-01-2009;NO;No Aplica;-22.465248;-68.927344;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Vacunatorio y Sala de Procedimientos Daniela Alvarez;Región De Antofagasta;Vacunatorio;Privado;Primario;Calama;04-01-2017;NO;No Aplica;-22.465216;-68.927347;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Victoria Saravia Crespo;Región De Antofagasta;Centro de Salud Privado;Privado;Secundario;Calama;01-01-2009;NO;No Aplica;-22.465079;-68.926982;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Laboratorio Diagnos;Región De Antofagasta;Laboratorio Clínico;Privado;No Aplica;Calama;01-01-2009;NO;No Aplica;-22.463156;-68.925288;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Vacunatorio y Sala de Procedimientos Margaret Meneses Meneses;Región De Antofagasta;Vacunatorio;Privado;Primario;Calama;17-08-2015;NO;No Aplica;-22.463118;-68.925288;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Odontológico Uno Salud Dental Temuco 2;Región De La Araucanía;Clínica Dental;Privado;No Aplica;Temuco;24-10-2018;NO;No Aplica;-38.73279;-72.615395;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico COMDES;Región De Antofagasta;Laboratorio Clínico;Municipal;No Aplica;Calama;;NO;No Aplica;-22.459798;-68.923346;Público;Vigente en Operación Habitual;Pendiente;No Aplica
Centro de Salud Familiar Central de Calama;Región De Antofagasta;Centro de Salud Familiar (CESFAM);Municipal;Primario;Calama;;NO;No Aplica;-22.45922;-68.93024;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Calama;Región De Antofagasta;Laboratorio Clínico;Privado;No Aplica;Calama;01-01-2009;NO;No Aplica;-22.458269;-68.929708;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Alemania;Región De Antofagasta;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Calama;;NO;No Aplica;-22.45794;-68.93973;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
COSAM Calama;Región De Antofagasta;Centro Comunitario de Salud Mental (COSAM);Servicio de Salud;Secundario;Calama;;NO;No Aplica;-22.457557;-68.93964;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Oasis;Región De Antofagasta;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Calama;13-07-2016;NO;No Aplica;-22.45494;-68.94971;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Alemania de Calama;Región De Antofagasta;Centro de Salud Familiar (CESFAM);Municipal;Primario;Calama;;NO;No Aplica;-22.45451;-68.93982;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAR Alemania;Región De Antofagasta;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Calama;12-06-2017;SI;Urgencia Ambulatoria (SAR);-22.454188;-68.939439;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital del Cobre Salvador Allende;Región De Antofagasta;Hospital;Privado;Terciario;Calama;01-01-2009;SI;Urgencia Hospitalaria (UEH);-22.453692;-68.907985;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Laboratorio High Clinic;Región De Antofagasta;Laboratorio Clínico;Privado;No Aplica;Calama;01-01-2009;NO;No Aplica;-22.453512;-68.929086;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Consultorio Prefectura de El Loa;Región De Antofagasta;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Calama;01-01-2009;NO;No Aplica;-22.453325;-68.914276;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Laboratorio Clínico Bionet S.A. - Calama;Región De Antofagasta;Laboratorio Clínico;Privado;No Aplica;Calama;11-02-2014;NO;No Aplica;-22.452068;-68.928719;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Clínica Andes Salud El Loa;Región De Antofagasta;Clínica;Privado;Terciario;Calama;01-01-2009;SI;Urgencia Hospitalaria (UEH);-22.451638;-68.929121;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Policíinico Asociación Chilena de Seguridad Achs Calama;Región De Antofagasta;Centro de Salud Privado;Privado;Secundario;Calama;01-08-1997;NO;No Aplica;-22.451626;-68.929187;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Instituto Teletón Calama;Región De Antofagasta;Centro de Salud Privado;Privado;Secundario;Calama;09-10-2013;NO;No Aplica;-22.449644;-68.904573;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Blanco;Región De Antofagasta;Laboratorio Clínico;Privado;No Aplica;Calama;01-01-2009;NO;No Aplica;-22.448493;-68.928138;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Hospital Dr. Carlos Cisternas (Calama);Región De Antofagasta;Hospital;Servicio de Salud;Terciario;Calama;21-08-2018;SI;Urgencia Hospitalaria (UEH);-22.445201;-68.918257;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
SAPU Norponiente;Región De Antofagasta;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Calama;;SI;Urgencia Ambulatoria (SAPU);-22.442565;-68.927351;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Montt;Región De Antofagasta;Centro de Salud Familiar (CESFAM);Municipal;Primario;Calama;;NO;No Aplica;-22.44255;-68.92742;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Diálisis Calama;Región De Antofagasta;Centro de Diálisis;Privado;No Aplica;Calama;01-01-2009;NO;No Aplica;-22.440256;-68.921402;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Clínica Mutual de Seguridad Cchc de Calama;Región De Antofagasta;Clínica;Privado;No Aplica;Calama;01-01-2009;NO;No Aplica;-22.439451;-68.921118;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Corpus Salud Laboral Ltda.;Región De Antofagasta;Centro de Salud Privado;Privado;Secundario;Calama;29-01-2015;NO;No Aplica;-22.439148;-68.922735;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Norponiente;Región De Antofagasta;Centro de Salud Familiar (CESFAM);Municipal;Primario;Calama;;NO;No Aplica;-22.43891;-68.9356;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Diálisis Renacer;Región De Antofagasta;Centro de Diálisis;Privado;No Aplica;Calama;13-03-2013;NO;No Aplica;-22.433407;-68.922231;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Chiu-chiu;Región De Antofagasta;Posta de Salud Rural (PSR);Municipal;Primario;Calama;;NO;No Aplica;-22.34247;-68.6497;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Cruz del Norte;Región De Antofagasta;Hospital;Privado;Pendiente;Maria Elena;01-01-2009;NO;No Aplica;-22.341778;-69.665033;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Familiar María Elena;Región De Antofagasta;Centro de Salud Familiar (CESFAM);Municipal;Primario;Maria Elena;;NO;No Aplica;-22.34109;-69.66425;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SUR María Elena;Región De Antofagasta;Servicio de Urgencia Rural (SUR);Municipal;Primario;Maria Elena;;SI;Urgencia Ambulatoria (SUR);-22.341088;-69.664249;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Caspana;Región De Antofagasta;Posta de Salud Rural (PSR);Municipal;Primario;Calama;;NO;No Aplica;-22.33517;-68.21267;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Ayquina;Región De Antofagasta;Posta de Salud Rural (PSR);Municipal;Primario;Calama;;NO;No Aplica;-22.27864;-68.32189;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica Mutual de Seguridad Cchc Tocopilla;Región De Antofagasta;Clínica;Privado;No Aplica;Tocopilla;01-01-2009;NO;No Aplica;-22.09601;-70.204641;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Policlínico Asociación Chilena de Seguridad Achs Tocopilla;Región De Antofagasta;Centro de Salud Privado;Privado;Secundario;Tocopilla;01-01-2009;NO;No Aplica;-22.09567;-70.205449;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Dr. Marcos Macuada (Tocopilla);Región De Antofagasta;Hospital;Servicio de Salud;Pendiente;Tocopilla;;SI;Urgencia Hospitalaria (UEH);-22.088517;-70.19273;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Posta de Salud Rural Quillagua (María Elena);Región De Antofagasta;Posta de Salud Rural (PSR);Municipal;Primario;Maria Elena;;NO;No Aplica;-21.66061;-69.53504;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Ollagüe;Región De Antofagasta;Posta de Salud Rural (PSR);Municipal;Primario;Ollagüe;;NO;No Aplica;-21.22489;-68.25563;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural San Marcos;Región De Tarapacá;Posta de Salud Rural (PSR);Municipal;Primario;Iquique;;NO;No Aplica;-21.113403;-70.119718;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico Teck Quebrada Blanca;Región De Tarapacá;Centro de Salud Privado;Privado;Primario;Pica;29-04-2014;NO;No Aplica;-21.005193;-68.804842;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica Coposa Cía. Minera Doña Inés de Collahuasi;Región De Tarapacá;Clínica;Privado;No Aplica;Pica;01-01-2009;NO;No Aplica;-20.826793;-68.657633;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Chanavayita;Región De Tarapacá;Posta de Salud Rural (PSR);Municipal;Primario;Iquique;;NO;No Aplica;-20.70232;-70.18737;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SUR Chanavayita;Región De Tarapacá;Servicio de Urgencia Rural (SUR);Municipal;Primario;Iquique;;SI;Urgencia Ambulatoria (SUR);-20.702283;-70.187312;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Matilla;Región De Tarapacá;Posta de Salud Rural (PSR);Municipal;Primario;Pica;;NO;No Aplica;-20.51356;-69.36094;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Dr. Juan Márquez Vismarra;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Pica;;NO;No Aplica;-20.48937173;-69.33389651;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SUR Pica;Región De Tarapacá;Servicio de Urgencia Rural (SUR);Municipal;Primario;Pica;;SI;Urgencia Ambulatoria (SUR);-20.490293;-69.32727;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural la Huayca;Región De Tarapacá;Posta de Salud Rural (PSR);Municipal;Primario;Pozo Almonte;;NO;No Aplica;-20.431055;-69.561453;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural la Tirana;Región De Tarapacá;Posta de Salud Rural (PSR);Municipal;Primario;Pozo Almonte;;NO;No Aplica;-20.33562;-69.65496;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Diálisis Alto Hospicio;Región De Tarapacá;Centro de Diálisis;Privado;No Aplica;Alto Hospicio;14-01-2015;NO;No Aplica;-20.289219;-70.10231;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Alto Hospicio;;NO;No Aplica;-20.28711;-70.10386;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Dr. Yandry Añazco Montero;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Alto Hospicio;26-12-2018;NO;No Aplica;-20.27781;-70.08402;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
COSAM Enrique París;Región De Tarapacá;Centro Comunitario de Salud Mental (COSAM);Servicio de Salud;Secundario;Alto Hospicio;;NO;No Aplica;-20.2752;-70.098225;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
SAR la Tortuga;Región De Tarapacá;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Alto Hospicio;10-03-2021;SI;Urgencia Ambulatoria (SAR);-20.272626;-70.105171;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar la Tortuga;Región De Tarapacá;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Alto Hospicio;13-04-2017;NO;No Aplica;-20.27262;-70.1056;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Pedro Pulgar Melgarejo;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Alto Hospicio;;NO;No Aplica;-20.26501;-70.10063;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
"Centro de Atención en Salud ""Nursing Care""";Región De Tarapacá;Centro de Salud Privado;Privado;Primario;Iquique;23-06-2021;NO;No Aplica;-20.263612;-70.12843;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Pozo Almonte;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Pozo Almonte;;NO;No Aplica;-20.26129;-69.78268;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
"LABORATORIO CLINICO ""BIOANALYSIS""";Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;03-11-2020;NO;No Aplica;-20.255343;-70.130893;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte;Región De Tarapacá;Centro de Salud Privado;Privado;Secundario;Pozo Almonte;21-10-2011;NO;No Aplica;-20.252962;-69.786549;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Playa Brava;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.252749;-70.133624;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro de Diálisis Alto Medicen;Región De Tarapacá;Centro de Diálisis;Privado;No Aplica;Alto Hospicio;18-11-2016;NO;No Aplica;-20.251687;-70.109569;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
COSAM Salvador Allende;Región De Tarapacá;Centro Comunitario de Salud Mental (COSAM);Servicio de Salud;Secundario;Iquique;;NO;No Aplica;-20.25082;-70.129707;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
SAR Sur de Iquique;Región De Tarapacá;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Iquique;;SI;Urgencia Ambulatoria (SAR);-20.250364;-70.128086;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Sur de Iquique;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Iquique;;NO;No Aplica;-20.25017;-70.12809;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Diálisis la Tirana;Región De Tarapacá;Centro de Diálisis;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.246322;-70.128497;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar El Boro;Región De Tarapacá;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Alto Hospicio;;NO;No Aplica;-20.24617;-70.09662;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU El Boro;Región De Tarapacá;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Alto Hospicio;;SI;Urgencia Ambulatoria (SAPU);-20.246059;-70.096632;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Universidad Arturo Prat;Región De Tarapacá;Centro de Salud Privado;Privado;Secundario;Iquique;01-01-2009;NO;No Aplica;-20.244035;-70.140576;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Sapu-curimón;Región De Valparaíso;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;San Felipe;;SI;Urgencia Ambulatoria (SAPU);;;Público;Cerrado;;
Clínica Establecimiento Penitenciario Alto Hospicio;Región De Tarapacá;Clínica;Gendamería;No Aplica;Alto Hospicio;01-01-2009;NO;No Aplica;-20.240813;-70.054424;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Centro de Diálisis Corporación Paúl Harris;Región De Tarapacá;Centro de Diálisis;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.239331;-70.138145;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro de Diálisis Medicen;Región De Tarapacá;Centro de Diálisis;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.239038;-70.141015;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Médico Bioclinic Ltda.;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;19-07-2017;NO;No Aplica;-20.237871;-70.149721;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro de Salud Familiar Cirujano Guzmán;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Iquique;;NO;No Aplica;-20.23686;-70.13644;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Cirujano Guzmán;Región De Tarapacá;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Iquique;;SI;Urgencia Ambulatoria (SAPU);-20.236832;-70.136531;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico FACH de Iquique;Región De Tarapacá;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Iquique;01-01-2009;NO;No Aplica;-20.230142;-70.142908;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Clínico Militar Iquique;Región De Tarapacá;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Iquique;01-01-2009;NO;No Aplica;-20.229515;-70.145039;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro de Salud Familiar Cirujano Aguirre;Región De Tarapacá;Centro de Salud Familiar (CESFAM);Municipal;Primario;Iquique;;NO;No Aplica;-20.22626;-70.13466;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Cirujano Aguirre;Región De Tarapacá;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Iquique;;SI;Urgencia Ambulatoria (SAPU);-20.226257;-70.134701;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Vacunatorio Inmuno Vida Spa;Región De Tarapacá;Vacunatorio;Privado;Primario;Iquique;14-01-2021;NO;No Aplica;-20.224602;-70.134139;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico de Nueva Clínica Tarapacá;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;05-05-1992;NO;No Aplica;-20.223013;-70.147598;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Instituto Teletón Iquique;Región De Tarapacá;Centro de Rehabilitación;Privado;No Aplica;Iquique;21-01-2014;NO;No Aplica;-20.222861;-70.146104;Privado;Vigente en Operación Habitual;Mediana Complejidad;Pendiente
Policlínico del Trabajador Achs Iquique;Región De Tarapacá;Centro de Salud Privado;Privado;Secundario;Iquique;01-01-2009;NO;No Aplica;-20.222856;-70.147043;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica Tarapacá;Región De Tarapacá;Clínica;Privado;Terciario;Iquique;01-01-2009;SI;Urgencia Hospitalaria (UEH);-20.222771;-70.147578;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Centro de Diálisis Iquique;Región De Tarapacá;Centro de Diálisis;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.221153;-70.139852;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro de Salud Mutual Cchc Iquique;Región De Tarapacá;Centro de Salud Privado;Privado;Secundario;Iquique;01-01-2009;NO;No Aplica;-20.220655;-70.148458;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Arauco Ltda.;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.220018;-70.150272;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Laboratorio Clínico Automatizado Elmo;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.219684;-70.149097;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro Médico y Dental Megasalud Iquique;Región De Tarapacá;Centro de Salud Privado;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.219036;-70.149374;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Clínica Iquique;Región De Tarapacá;Clínica;Privado;Terciario;Iquique;01-01-2009;SI;Urgencia Hospitalaria (UEH);-20.2183;-70.15497;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Vacunatorio Sonrisa Infantil;Región De Tarapacá;Vacunatorio;Privado;Primario;Iquique;01-01-2009;NO;No Aplica;-20.217454;-70.153063;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
BLUELAB Laboratorio Biología Molecular;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;11-08-2020;NO;No Aplica;-20.21728;-70.147915;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Policlínico Carabineros de Iquique;Región De Tarapacá;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Iquique;01-01-2009;NO;No Aplica;-20.216887;-70.155056;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Costanera;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.216192;-70.154678;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Laboratorio Clínico Iquilab;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.215864;-70.150174;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Policlínico Naval de Iquique;Región De Tarapacá;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Iquique;01-01-2009;NO;No Aplica;-20.215357;-70.156666;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Unidad de Salud Funcionario S.S. Iquique;Región De Tarapacá;Unidad de Salud Funcionarios;Servicio de Salud;Secundario;Iquique;29-01-2021;NO;No Aplica;-20.215119;-70.152317;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Actividades Gestionadas Por la Dirección del Servicio Para Apoyo de la Red (S.S de Iquique);Región De Tarapacá;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Iquique;;NO;No Aplica;-20.215119;-70.152317;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
PRAIS (S.S. Iquique);Región De Tarapacá;Programa de Reparación y Atención Integral de Salud (PRAIS);Servicio de Salud;No Aplica;Iquique;;NO;No Aplica;-20.215119;-70.152317;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Dr. Ernesto Torres Galdames (Iquique);Región De Tarapacá;Hospital;Servicio de Salud;Terciario;Iquique;;SI;Urgencia Hospitalaria (UEH);-20.214354;-70.138931;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro Odontológico Uno Salud Dental Valdivia;Región De Los Ríos;Clínica Dental;Privado;No Aplica;Valdivia;;NO;No Aplica;-39.813023;-73.242471;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
COSAM Dr. Jorge Seguel Cáceres;Región De Tarapacá;Centro Comunitario de Salud Mental (COSAM);Servicio de Salud;Secundario;Iquique;;NO;No Aplica;-20.213349;-70.150415;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Bionet S.A. - Iquique;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.21276;-70.151481;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro de Atención Instituto de Seguridad del Trabajador Iquique;Región De Tarapacá;Centro de Salud Privado;Privado;Secundario;Iquique;01-01-2009;NO;No Aplica;-20.211755;-70.151337;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Clinicum Laboratorio Automatizado Ltda.;Región De Tarapacá;Laboratorio Clínico;Privado;No Aplica;Iquique;01-01-2009;NO;No Aplica;-20.211749;-70.148042;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Policlínico Centro de Cumplimiento Penitenciario Iquique;Región De Tarapacá;Centro de Salud Privado;Gendamería;Secundario;Iquique;03-05-2000;NO;No Aplica;-20.209289;-70.149075;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Cerro Esmeralda;Región De Tarapacá;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Iquique;;NO;No Aplica;-20.20896;-70.14054;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
